unit,icd10,age,sex,geo\time	2011 	2012 	2013 	2014 	2015 
RT,A-R_V-Y,TOTAL,M,PL	1761.13 	1766.94 	1729.13 	1641.49 	1681.34 
RT,A-R_V-Y,TOTAL,M,PT	1302.97 	1350 	1323.51 	1285.43 	1286.81 
RT,A-R_V-Y,TOTAL,M,RO	1989.14 	1985.6 	1889.26 	1886.4 	1905.02 
RT,A-R_V-Y,TOTAL,M,RS	2094.01 	2052.17 	1945.92 	1898.37 	1914.27 
RT,A-R_V-Y,TOTAL,M,SE	1169.84 	1173.27 	1135.75 	1104.73 	1110.72 
RT,A-R_V-Y,TOTAL,M,SI	1440.33 	1409.92 	1385.44 	1301.92 	1327.8 
RT,A-R_V-Y,TOTAL,M,SK	1881.69 	1862.66 	1824.04 	1751.13 	1768.94 
RT,A-R_V-Y,TOTAL,M,TR	1325.05 i	1033.07 i	1089.52 i	1434.38 i	1441.48 i
RT,A-R_V-Y,TOTAL,M,UK	1145.76 i	1156.52 i	1169.35 	1145.89 	1175.47 
RT,A-R_V-Y,TOTAL,T,AT	994.6 	1014.47 	997.8 	957.15 	989.74 
RT,A-R_V-Y,TOTAL,T,BE	1023.02 	1051.21 	1034.88 	970.63 	1001.86 
RT,A-R_V-Y,TOTAL,T,BG	1689.88 	1709.05 	1602.3 	1646.45 	1660.14 
RT,A-R_V-Y,TOTAL,T,CH	872.61 	881.75 	873.43 	838.86 	868.02 
RT,A-R_V-Y,TOTAL,T,CY	1024.77 	1055.78 	951.52 	980.1 	1047.48 
RT,A-R_V-Y,TOTAL,T,CZ	1331.4 	1323.34 	1308.17 	1237.32 	1280.12 
RT,A-R_V-Y,TOTAL,T,DE	1004.77 i	1003.25 i	1066.3 	1017.07 	1057.22 
RT,A-R_V-Y,TOTAL,T,DK	1111.31 	1087.86 	1073.82 	1028.33 	1032.51 
RT,A-R_V-Y,TOTAL,T,EE	1326.09 	1317.07 	1283.74 	1269.27 	1236.6 
RT,A-R_V-Y,TOTAL,T,EL	1022.72 	1042.72 	975.51 	966.64 	1003.36 
RT,A-R_V-Y,TOTAL,T,ES	889.55 	898.41 	848.31 	837.46 	872.67 
RT,A-R_V-Y,TOTAL,T,EU28	1026.73 i	1035.13 i	1020.93 i	1003.06 	1035.96 
RT,A-R_V-Y,TOTAL,T,FI	1028.94 	1026.98 	999.37 	994.74 	968.81 
RT,A-R_V-Y,TOTAL,T,FR	870.97 	889.11 	867.11 	829.86 	858.75 
RT,A-R_V-Y,TOTAL,T,HR	1451.42 	1371.21 i	1359.13 	1355.92 	1429.88 
RT,A-R_V-Y,TOTAL,T,HU	1495.13 i	1502.88 i	1482.81 	1455.45 	1500.16 
RT,A-R_V-Y,TOTAL,T,IE	1026.16 	1028.19 	1019.95 	981.07 	988.77 
RT,A-R_V-Y,TOTAL,T,IS	933.23 	880.54 	943.31 	882.53 	913.05 
RT,A-R_V-Y,TOTAL,T,IT	917.39 	922.61 	878.27 	854.06 	901.24 
RT,A-R_V-Y,TOTAL,T,LI	945.45 	847.32 	915.81 	976.36 	878.16 
RT,A-R_V-Y,TOTAL,T,LT	1522.52 	1506.04 	1510.91 	1449.22 	1489.99 
RT,A-R_V-Y,TOTAL,T,LU	1029.86 	983.19 	941.98 	917.54 	929.88 
RT,A-R_V-Y,TOTAL,T,LV	1576.89 	1591.06 	1548.98 	1502.96 	1489.36 
RT,A-R_V-Y,TOTAL,T,MT	1036.18 	1059.97 	975.69 	939.38 	953.56 
RT,A-R_V-Y,TOTAL,T,NL	1001.69 	1017.48 	1003.42 	957.96 	991.75 
RT,A-R_V-Y,TOTAL,T,NO	996.31 	999.09 	941.11 	913.73 	907.15 
RT,A-R_V-Y,TOTAL,T,PL	1325.61 	1328.29 	1308.14 	1241.04 	1273.62 
RT,A-R_V-Y,TOTAL,T,PT	1014.47 	1052.09 	1024.85 	991.4 	1005.34 
RT,A-R_V-Y,TOTAL,T,RO	1600.13 	1601.82 	1520.58 	1516.64 	1529.56 
RT,A-R_V-Y,TOTAL,T,RS	1786.88 	1745.67 	1663.59 	1636.11 	1648.17 
RT,A-R_V-Y,TOTAL,T,SE	966.35 	975.89 	949.94 	922.1 	926.64 
RT,A-R_V-Y,TOTAL,T,SI	1099.64 	1090.86 	1072.03 	1018.63 	1041.09 
RT,A-R_V-Y,TOTAL,T,SK	1471.24 	1461.04 	1417.98 	1353.43 	1390.25 
RT,A-R_V-Y,TOTAL,T,TR	1075.76 i	839.38 i	884.46 i	1167 i	1168.37 i
RT,A-R_V-Y,TOTAL,T,UK	978.85 i	998.04 i	991.78 	971.17 	1002.39 
