s_adj,nace_r2,sizeclas,indic_em,geo\time	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 	2013Q4 	2013Q3 	2013Q2 	2013Q1 	2012Q4 	2012Q3 	2012Q2 	2012Q1 	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 	2004Q4 	2004Q3 	2004Q2 	2004Q1 	2003Q4 	2003Q3 	2003Q2 	2003Q1 	2002Q4 	2002Q3 	2002Q2 	2002Q1 	2001Q4 	2001Q3 	2001Q2 	2001Q1 
NSA,A,GE10,CH_Q_Q,NO	0.1 	-0.2 	-0.5 	0.3 	0.4 	-0.5 	0.1 	0.3 	0.1 	-1.1 	0.2 	0.8 	-0.2 	-0.1 	-0.5 	0.6 	0.1 	0.1 	-0.1 	0.1 	0.0 	-0.4 	0.4 	0.1 	-1.0 	0.3 	-0.4 	1.1 	-0.1 	0.0 	-0.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,CH_Q_Q,PL	0.0 	0.1 	-0.1 	0.2 	0.0 	-0.1 	0.0 	0.1 	0.0 	0.0 	-0.1 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	-0.1 	0.0 	-0.1 	-0.1 	0.1 	0.0 	0.0 	0.0 	-0.1 	0.1 	-0.1 	0.0 	-0.1 	0.1 	-0.1 	-0.1 	0.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,CH_Q_Q,RO	-0.1 	0.1 	-0.1 	0.1 	0.0 	-0.1 	-0.1 	-0.3 	0.4 	0.0 	0.1 	0.2 	0.0 	-0.2 	-0.1 	0.3 	0.0 	0.1 	-0.2 	0.2 	-0.1 	0.0 	-0.1 	-0.2 	-0.1 	-0.2 	-0.4 	0.6 	-0.2 	-0.1 	-0.2 	0.3 	-0.9 	0.6 	-1.1 	0.8 	-0.9 	0.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,CH_Q_Q,SE	-0.9 	0.8 	-5.1 	4.3 	1.2 	-1.7 	0.9 	0.9 	0.0 	0.2 	-1.6 	1.6 	-1.0 	: c	-0.3 	1.2 	-0.1 	-0.6 	0.3 	0.0 	0.1 	-0.2 	-0.3 	0.7 	-0.4 	-0.2 	-0.3 	0.8 	-0.3 	-0.3 	0.1 	0.6 	0.0 	-0.1 	-0.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,CH_Q_Q,SK	0.0 	0.0 	0.1 	-0.1 	0.0 	0.0 	-0.2 	0.3 	-0.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.0 	0.0 	-0.1 	0.1 	-0.1 	0.0 	0.0 	-0.1 	0.1 	-0.3 	0.2 	0.1 	0.0 	-0.1 	-0.1 	0.0 	0.1 	-0.1 	-0.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,JOBOCC,BG	46807 p	56947 p	55496 p	49323 p	48543 p	62987 p	65778 p	58450 p	47960 p	58184 p	57613 p	52377 p	50497 	60753 	62134 	56597 	54711 	62115 	63394 	56036 	52567 	61785 	63583 	53741 	49260 	62040 	59226 	55163 	52442 	62201 	61861 	52700 	53660 	63343 	65868 	56949 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,JOBOCC,CZ	92579 	94307 	92578 	88098 	97286 	97953 	97066 	97304 	97097 	97252 	100869 	93242 	92622 	89675 	86320 	80947 	92599 	101272 	103388 	99835 	104102 	98055 	94405 	87869 	88776 	87755 	89069 	85684 	87086 	91726 	93694 	92000 	94337 	104682 	102133 	97418 	101011 	103018 	103677 	107854 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,JOBOCC,DE	255311 	178688 	148277 	172677 	214330 	223547 	205696 	201434 	216054 	202545 	196463 	148987 	206446 	210801 	199121 	164036 	216449 	192826 	176283 	176625 	182816 	199077 	210464 	151474 	158962 	153812 	137851 	131196 	128363 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,JOBOCC,EE	8408 	8660 	8855 	8647 	8448 	8695 	9032 	8995 	9040 	8720 	9019 	8647 	8508 	8982 	9131 	8876 	9836 	10147 	10245 	9988 	8987 	9072 	9098 	8981 	9157 	9572 	9558 	9172 	9754 	9972 	9838 	9731 	9574 	9516 	9613 	9782 	11188 	11763 	11761 	11442 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,A,GE10,JOBOCC,FI	16487 	17859 	20374 	16391 	10241 	18896 	9985 	12507 	13069 	11161 	8219 	17124 	11297 	10690 	12392 	14315 	22435 	21453 	24632 	10363 b	15596 	15168 	11249 	7961 	17580 	16866 	12891 	11277 	16428 	18562 	16540 	26156 	23387 	24547 	13745 	14381 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
