unit,facility,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
HAB_P,HBEDI_PSY,ES	: 	2786.64 	2802.42 	2753.86 	2786.93 	2605.20 	2496.40 	2442.47 	2432.75 	2417.53 	2180.96 	2184.65 	2101.18 	2058.94 	1986.54 	1971.75 	1927.30 	1873.15 	1882.52 	1776.75 	1711.16 	1666.19 	1626.11 	1606.78 	1559.59 	1474.96 	1411.10 	1309.02 	1286.24 	1233.38 	1165.66 	1087.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,EU28	: 	1389.75 	1377.95 	1374.07 	1373.14 	1363.39 	1362.06 	1343.44 	1329.02 	1317.03 	1293.91 	1257.80 	1240.98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,FI	: 	1607.84 	1647.02 	1573.78 	1453.42 	1407.96 	1328.88 	1243.04 	1175.79 	1131.28 	1084.04 	1071.29 	1034.67 	1019.36 	989.65 	990.46 	970.96 b	942.78 	918.14 	878.60 	820.33 	782.08 	738.94 	696.13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	234.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,FR	: 	1158.62 	1144.34 	1133.51 	1135.31 	1144.18 	1132.39 	1129.06 	1118.84 	1107.32 	1093.67 	1075.38 	1059.39 	1041.75 	1017.50 	988.29 	967.27 	900.76 	862.61 	817.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,HR	: 	1062.89 	1012.20 	1020.50 	993.73 	1060.71 	1030.54 	1056.87 	1053.12 	1038.32 	1074.78 	1058.96 	1061.61 	1047.20 	995.45 	974.28 	978.82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,HU	: 	1128.40 e	1119.79 e	1114.21 e	1116.65 e	1116.28 	1117.32 	1114.12 	1139.41 	1070.11 b	1047.14 	1034.36 	1030.71 	1021.74 	1010.20 	1013.59 	984.85 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,IE	: 	2870.99 	2815.38 	2856.08 	2850.78 	2817.93 	2585.16 	2533.49 b	1260.52 	1170.90 	1093.24 	1046.52 	987.69 	922.13 	863.41 	781.53 	708.73 	702.62 	668.11 	638.54 	589.45 	541.14 	512.84 	472.99 	443.86 	396.30 	380.79 	357.10 	331.26 	296.54 b	306.23 	292.48 	281.54 	274.22 	259.59 	253.56 	253.91 	241.43 	236.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,IS	: 	2281.48 	2257.83 	2158.43 	2109.97 	2098.77 	2078.70 	1676.31 	1636.15 	1684.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,IT	: 	10708.97 	10774.40 	10504.70 	10478.65 	9977.58 	9933.22 	9431.64 	9086.13 	8654.03 	7679.67 	7551.48 	7650.62 	7385.21 	6942.48 	6939.98 	6745.90 	6175.15 	3022.93 	2520.84 	1822.56 	2060.77 	1453.24 	1432.69 	1379.64 	1337.67 	1186.94 	1193.59 	1071.71 	1011.15 	968.86 	895.63 	884.73 	824.61 	782.44 	747.48 	686.65 	655.08 	605.52 	565.25 	542.45 	523.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,LT	: 	972.84 	926.79 	910.62 	903.74 	899.70 	966.03 	979.60 	972.52 	977.59 	977.00 	967.22 	936.38 	928.05 	909.09 	816.82 	782.89 	787.19 	798.50 	776.53 	749.24 	747.19 	736.14 	678.07 	673.36 	625.70 	606.70 	522.22 	521.40 	521.47 	535.77 	533.42 	527.26 	546.27 	552.26 	577.45 	603.57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
