unit,facility,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
HAB_P,HBEDT_OTH,LV	: 	792.28 	793.39 	797.40 	777.94 	774.63 	808.03 	744.66 	646.35 	648.46 	647.96 	644.94 	636.79 	640.41 	631.89 	586.85 	538.46 b	477.71 	420.74 	433.59 	415.21 	457.15 	452.72 	441.57 	443.56 	416.82 	384.07 	378.02 	484.20 	480.18 	475.30 	486.12 	: 	: 	: 	: 	486.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_OTH,MK	: 	2458.70 	2496.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_OTH,MT	: 	: 	: 	1282.95 	1278.83 	1965.42 	2713.04 	1823.75 	2395.06 	2378.20 	4671.36 	4695.78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_OTH,NL	: 	: 	: 	: 	: b	: 	: 	627.58 	625.31 	638.16 	626.77 b	628.05 	641.80 	631.73 	624.64 	574.91 b	564.09 	534.37 	531.15 	515.08 	510.70 	510.55 b	502.13 b	494.63 	490.71 	483.36 	478.25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_OTH,NO	: 	2487.35 	2425.51 	2448.01 	2363.91 	2439.94 	2030.42 	1901.07 	1950.19 	1968.71 	1914.04 	1713.60 	1601.08 	1556.38 	1650.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_OTH,PL	: 	: 	: 	: 	: 	: 	: b	634.92 	671.12 b	1291.83 	1303.26 	1302.49 	1280.12 	1438.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_OTH,PT	: 	12647.22 e	40471.06 	29457.17 	38515.91 	47986.36 	25554.06 	34860.60 	34827.58 	31109.49 	46219.84 	36252.31 	65229.63 	60353.03 	58249.45 	55338.70 	106519.13 	74793.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_OTH,RO	: 	: 	: 	: 	: 	: 	: 	: b	1298.19 	1300.04 	1293.14 	1325.88 	1316.87 	1312.37 	1204.99 	1207.95 	1226.46 	1125.12 	1129.89 	1120.97 	1128.47 	1130.37 	1125.26 	1114.86 	1109.86 	1047.36 	1048.39 	1048.84 	1041.26 	1034.04 	1018.68 	1014.32 	: 	: 	: 	: 	995.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_OTH,RS	: 	: 	339551.24 	341149.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_OTH,SE	: 	102074.85 	106550.66 	106670.88 	102358.86 b	106170.93 	104201.40 	99984.03 	70378.91 	68782.65 	76953.43 	79206.77 	70815.20 	35130.31 	33679.09 	32585.93 b	8490.06 	9020.24 	8994.89 	8213.61 	7423.17 	5665.56 	6833.26 	4909.10 	5434.52 b	848.33 	808.73 	842.47 	853.20 	827.45 	789.90 	773.69 	734.96 	745.79 	722.24 	533.95 	706.86 	677.86 	625.42 	722.55 	692.99 	629.46 	618.74 	581.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_OTH,SI	: 	17789.06 d	17775.69 	17758.22 	17433.55 	14984.25 	14426.64 	14363.87 	14234.62 	13675.67 	13652.16 	13608.67 	13585.11 	13576.41 	13568.23 	13105.66 	13085.03 b	5633.65 	5629.63 	5516.54 	5523.97 	5527.42 	5450.53 	5456.84 	5469.86 	5477.89 	5415.07 	5410.17 	5407.03 	5392.35 	5327.82 	5261.90 	: 	: 	: 	: 	5152.62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,AT	: 	800.63 	802.40 	790.69 	825.01 	898.90 	926.33 	967.53 	997.24 	1042.42 	1093.30 	1107.08 	1135.94 	1263.25 	1329.71 	1369.37 	1386.56 	1369.96 	1391.62 	1386.47 	1372.72 	1435.74 	1500.49 	1471.36 	1469.40 	1472.07 	1455.52 	1392.46 	1455.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,BG	: 	1158.49 	1186.59 	1358.22 	1410.95 	1462.94 	1442.54 	1406.74 	1452.63 	1525.85 	1611.01 	1628.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,CH	: 	1160.16 	1214.75 	1166.62 	1128.38 	1085.82 	1147.63 b	1193.38 	1158.56 	1140.14 	1174.32 	1200.12 	1196.51 	1113.66 	1100.25 	1083.94 	1020.20 	1031.03 	983.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,CZ	: 	2222.09 	2306.17 	2337.54 	2469.06 	2555.66 	2602.08 	2698.71 	2831.16 	2967.88 	2914.06 	2892.29 	3148.23 	3309.78 	3660.28 	3823.87 	4018.91 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,DE	: 	495.03 	488.86 	487.71 	484.90 	479.63 	476.21 	477.60 	480.01 	481.53 	476.94 	472.66 	467.59 	459.06 	446.77 	435.13 	433.10 	433.03 	429.64 	434.35 	431.38 	449.69 	471.63 	521.47 	537.82 	554.99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,DK	: 	33043.51 	34202.88 	39822.21 e	39939.80 	39789.80 	34244.96 	33072.42 	24525.09 	14486.57 	17206.56 	21505.68 	29056.57 	34777.89 	38127.17 	35255.15 	29997.84 	66522.48 	265210.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,EE	: 	3769.07 	3880.07 	3853.79 	4212.41 	4267.29 	4512.32 	4467.57 	3954.79 	4029.05 	4083.73 	4167.48 	3513.77 	3791.48 	3565.99 	3919.83 	4534.82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,EL	: 	28778.94 b	46950.06 	46660.47 	42018.07 	23590.76 	24369.62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,ES	: 	25861.75 	26713.15 	27152.04 	27808.00 	26028.52 	27244.81 	25086.66 	25196.75 	25412.77 	26338.17 	25114.67 	24423.16 	24043.80 	24131.99 	22094.67 	22581.72 	21512.00 	20411.67 	20519.65 	20777.99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,FI	: 	13267.63 	20005.54 	12305.37 	10742.01 	9322.27 	9152.48 	8737.92 	7547.44 	8186.87 	7375.72 	7692.22 	9319.38 	10574.06 	11018.22 	12592.25 	13071.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,FR	: 	630.95 	631.70 	635.62 	637.39 	643.72 	645.01 	650.07 	653.87 	661.75 	670.44 	684.59 	676.11 	671.61 	669.63 	675.22 	673.44 	655.36 	641.94 	628.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,HR	: 	988.49 	971.13 	964.95 	962.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,HU	: 	1077.74 	1094.45 	1050.22 	1048.11 	995.18 	1002.31 	1010.25 	1031.46 	1035.93 b	1459.20 	1528.34 	1525.15 	1563.20 	1579.88 	1617.33 	1569.95 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,IE	: 	29414.06 	28678.42 	32844.96 	34749.22 	35475.32 	35029.91 	35388.43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,IS	: 	5251.03 	5548.92 	5222.00 	5172.84 	5063.71 	5048.27 	4976.55 	3734.28 	3994.43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,IT	: 	2445.26 	2475.13 	2457.93 	2456.87 	2469.84 	2415.18 	2408.38 	2438.15 	2396.00 	2493.40 	2586.25 	2797.97 	2866.47 	2802.11 	3011.64 	3196.48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,LT	: 	1769.13 	1724.92 	1808.98 	1740.11 	1788.77 	2295.55 	2507.10 	2579.20 	2553.42 	2583.01 	2529.11 	2427.98 	2597.15 	3142.27 	4704.45 b	3234.32 	2939.31 	3250.30 b	16250.62 	19680.94 	19303.73 	26122.45 	28327.79 	28462.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,LU	: 	3218.10 	3143.05 	3069.83 	2999.69 	2928.51 	2864.14 	2812.33 	2760.73 	2711.82 	3721.55 	3662.66 	3607.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,LV	: 	2493.73 	2464.50 	2493.99 	2666.21 	2919.41 	4678.55 	3105.83 	2601.72 	2622.23 	2842.17 	3047.04 	3308.75 	3117.08 	4677.25 	4361.13 	3974.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,MK	: 	6000.65 	5992.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,MT	: 	990.54 	980.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,NL	: 	: 	: 	8310.80 	8373.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,PL	: 	585.24 	603.17 	607.93 	610.96 b	623.96 	639.22 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,PT	: 	17615.78 e	23425.82 	23552.47 	25215.45 	20341.04 	23884.99 	24842.25 	28554.87 	22961.76 	23573.15 	22983.49 	23337.71 	25038.55 	26249.12 	24333.33 	26355.25 	25686.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,RO	: 	1646.49 	1667.28 	1729.44 	1892.98 	2104.39 	2445.59 	2356.86 	2540.58 	2717.82 	2680.03 	2568.49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,RS	: 	: d	1149.72 d	1145.89 d	1181.73 d	1196.04 d	1182.91 d	1210.65 d	1187.63 d	1203.00 d	1146.06 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,SI	: 	10317.66 d	10309.90 	10299.77 	10285.80 	10264.21 	10242.91 	10198.35 	10106.58 	10051.62 	10034.34 	10002.37 	9985.06 	9978.67 	9972.65 	9960.30 	9944.62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,SK	: 	6779.75 	6773.31 	6887.27 	6399.50 	6465.13 	6238.39 	5915.49 	6792.24 	5140.30 	5784.77 	5861.81 	5442.30 	5037.09 	5022.46 	5638.23 	6229.73 	6363.23 	6139.54 	6173.50 	6741.98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT_REH,TR	: 	38380.02 	39600.76 	36644.67 	37419.53 	41863.30 	42132.57 	43397.11 	42802.22 	41160.65 	43303.66 	44076.45 	44029.09 	41928.97 	37788.47 	48590.49 	50292.91 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,AL	: 	: 	: 	745.00 	745.00 	692.00 	692.00 	692.00 	: 	727.00 	795.00 	795.00 	795.00 	795.00 	910.00 	910.00 	915.00 	935.00 	910.00 	938.00 	977.00 	977.00 	997.00 	1021.00 	1302.00 	1299.00 	1269.00 	1201.00 	1273.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,AT	: 	5294.00 	5263.00 	5279.00 	5251.00 	5273.00 	5276.00 	5146.00 	5145.00 	5352.00 	5007.00 	4913.00 	4807.00 	4626.00 	4562.00 	4580.00 	4719.00 	4244.00 	4529.00 	4751.00 	5008.00 	5474.00 	5850.00 	6108.00 	6237.00 	6584.00 	6667.00 	6762.00 	6962.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,BE	19674.00 	19595.00 	19483.00 	19447.00 	19394.00 	19317.00 	19297.00 	19274.00 	19236.00 	19138.00 	19259.00 b	26201.00 	25840.00 	25686.00 	25672.00 	25944.00 	26567.00 	26498.00 	26463.00 	26378.00 	26159.00 	19785.00 	20179.00 	20777.00 	20822.00 	19953.00 	19005.00 	20720.00 	21020.00 	21210.00 	21190.00 	21870.00 	: 	: 	: 	: 	24182.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26553.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,BG	: 	4929.00 	4823.00 	4792.00 	4665.00 	4614.00 	4888.00 	5179.00 	5120.00 	5138.00 	5150.00 	5245.00 b	5021.00 	5022.00 	5149.00 	5611.00 	5223.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,CH	: 	7610.00 	7431.00 	7555.00 	7422.00 	7343.00 	7567.00 	7612.00 	7675.00 	7694.00 	7558.00 	7867.00 	7870.00 	7881.00 	8029.00 	8152.00 	8588.00 	8581.00 	8501.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,CY	: 	186.00 	186.00 	186.00 	198.00 	182.00 	189.00 	206.00 	206.00 	206.00 	206.00 	232.00 	229.00 	232.00 	266.00 	266.00 	351.00 	376.00 	376.00 	408.00 	576.00 	624.00 	624.00 	666.00 	703.00 	745.00 	840.00 	840.00 	839.00 	839.00 	839.00 	842.00 	871.00 	871.00 	866.00 	866.00 	918.00 	898.00 	898.00 	902.00 	842.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,CZ	: 	10207.00 	10172.00 	10197.00 	10357.00 	10582.00 	10692.00 	10850.00 	10936.00 	11046.00 	11182.00 	11297.00 	11452.00 	11494.00 	11591.00 	11693.00 	11609.00 b	11605.00 	11662.00 	11758.00 	11752.00 	11814.00 	: 	: 	: 	: 	14510.00 	: 	: 	: 	: 	15270.00 	: 	: 	: 	: 	15224.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,DE	: 	103992.00 	102916.00 	101850.00 	100675.00 	98719.00 	96426.00 	93982.00 	92537.00 	90574.00 	89352.00 	88284.00 	88116.00 	87965.00 	87213.00 	88494.00 	88345.00 	88426.00 	88814.00 	89439.00 	90950.00 	93843.00 	94551.00 	95302.00 	102452.00 	110439.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,DK	2275.00 	: 	: 	3020.00 	: 	2967.00 b	3164.00 	3191.00 	3212.00 	3351.00 	3422.00 	3541.00 	3647.00 	3843.00 	3965.00 	4031.00 	4044.00 	4198.00 	4177.00 	4214.00 	4209.00 	4204.00 	4259.00 	4252.00 	4338.00 	4732.00 	4906.00 	5202.00 	5639.00 	5893.00 b	8743.00 	8915.00 	9117.00 	9405.00 	8744.00 	8965.00 	9352.00 	9547.00 	9648.00 	10070.00 	10620.00 	10648.00 	10673.00 	10792.00 	10870.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,EE	: 	730.00 	730.00 	733.00 	712.00 	717.00 	712.00 	721.00 	744.00 	742.00 	743.00 	723.00 	681.00 	765.00 	882.00 	933.00 	1083.00 	1128.00 	1235.00 	1361.00 	1413.00 	1527.00 	1585.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,EL	: 	7911.00 	7838.00 	7651.00 	8451.00 	8145.00 	8372.00 	8975.00 	9235.00 	9644.00 	9736.00 	9627.00 	9902.00 	9693.00 	10158.00 	10218.00 	10626.00 	10552.00 	11323.00 	11236.00 	11205.00 	11530.00 	10654.00 	11489.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,ES	: 	16668.00 	16586.00 	16929.00 	16783.00 	17724.00 	18455.00 	18796.00 	18726.00 	18564.00 	20228.00 	19865.00 	20318.00 	20401.00 	20797.00 	20652.00 	20891.00 	21315.00 	21100.00 	22278.00 	23071.00 	23639.00 	24165.00 	24390.00 	25050.00 	26400.00 	27532.00 	29634.00 	30100.00 	31321.00 	33059.00 	35342.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,EU28	: 	366536.00 	368474.00 	368842.00 	368605.00 	370440.00 	371602.00 	375765.00 	378566.00 	380346.00 	385417.00 	394829.00 	398402.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,FI	: 	3408.00 	3316.00 	3456.00 	3725.00 	3827.00 	4036.00 	4295.00 	4519.00 	4675.00 	4858.00 	4897.00 	5053.00 	5114.00 	5255.00 	5238.00 	5331.00 b	5479.00 	5613.00 	5850.00 	6247.00 	6531.00 	6886.00 	7278.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19628.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,FR	: 	57503.00 	57863.00 	58001.00 	57622.00 	56950.00 	57248.00 	57131.00 	57362.00 	57640.00 	58004.00 	58585.00 	59027.00 	59590.00 	60584.00 	61927.00 	62818.00 	67001.00 	68662.00 	71240.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,HR	: 	3959.00 	4185.00 	4169.00 	4296.00 	4153.00 	4288.00 	4192.00 	4212.00 	4275.00 	4133.00 	4196.00 	4185.00 	4242.00 	4464.00 	4559.00 	4565.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDI_PSY,HU	: 	8723.00 e	8811.00 e	8879.00 e	8884.00 e	8933.00 	8950.00 	8996.00 	8810.00 	9397.00 b	9618.00 	9752.00 	9806.00 	9914.00 	10056.00 	10051.00 	10368.00 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
